;'Lat';'Long';'Prec';'Temp';'Alt'
'Wrocław';51,11;17,02222222;548;9,7;130
'Opole';50,66472222;17,92694444;611;8,4;176
'Katowice';50,26416667;19,02361111;721;7,9;301
'Kraków';50,06138889;19,93833333;671;8,7;288
'Rzeszów';50,03361111;22,00472222;615;7,5;292
'Kielce';50,87416667;20,63333333;629;7,8;330
'Łódź';51,77666667;19,45472222;582;8,6;220
'Poznań';52,40833333;16,93416667;520;8,4;102
'Zielona Góra';51,93972222;15,505;600;8,8;143
'Szczecin';53,43805556;14,54222222;539;8;65
'Gdańsk';54,3475;18,64527778;541;6,7;90
'Bydgoszcz';53,125;18,00111111;533;8,4;70
'Warszawa';52,23222222;21,00833333;501;8,2;100
'Białystok';53,13527778;23,14555556;574;6,8;140
'Lublin';51,24805556;22,57027778;570;8,4;200
'Olsztyn';53,77305556;20,47611111;654;7,2;120
;;;;8,09375;172,9375
